name,n_elements,mean_atomic_number,mean_atomic_mass,mean_electronegativity,mean_ionization_energy,mean_electron_affinity,mean_covalent_radius,mean_vdw_radius,mean_boiling_point,mean_melting_point,mean_density
hMOF-0,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-100,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1000,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10000,5,16.0,34.8604,2.56,11.9368,1.3684,83.0,153.2,1144.096,969.97,2.504904
hMOF-10001,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10002,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10003,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10004,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10005,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10006,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10007,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10008,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10009,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1001,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10010,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10011,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10012,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10013,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10014,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10015,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10016,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10017,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10018,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10019,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1002,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10020,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10021,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10022,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10023,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10024,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10025,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10026,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10027,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10028,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10029,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1003,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10030,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10031,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10032,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10033,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10034,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10035,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10036,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10037,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10038,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10039,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1004,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10040,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10041,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10042,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10043,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10044,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10045,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10046,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10047,5,10.4,21.681,2.576,12.4808,0.6816,73.2,147.2,1093.168,929.44,1.880754
hMOF-10048,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10049,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1005,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10050,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10051,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10052,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10053,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10054,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10055,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10056,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10057,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10058,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10059,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-1006,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10060,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10061,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10062,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10063,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10064,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10065,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10066,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10067,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10068,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10069,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-1007,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10070,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10071,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10072,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10073,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10074,5,10.8,22.6792,2.764,13.0586,1.3758,70.4,145.6,1094.702,927.516,1.880844
hMOF-10075,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10076,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10077,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10078,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10079,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-1008,4,11.25,23.5995,2.46,11.9675,0.8695,73.75,145.25,1347.12,1146.0125,2.35063
hMOF-10080,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10081,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10082,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10083,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10084,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
hMOF-10085,5,12.4,25.9702,2.6,12.1676,1.4182,79.4,151.2,1125.518,951.13,1.881146
