name,num_nodes,num_edges,graph_density,status
hMOF-0,53,116,0.0421,ok
hMOF-1,106,232,0.0208,ok
hMOF-10,106,232,0.0208,ok
hMOF-100,69,148,0.0315,ok
hMOF-1000,110,240,0.02,ok
hMOF-10000,78,172,0.0286,ok
hMOF-10001,42,92,0.0534,ok
hMOF-10002,84,184,0.0264,ok
hMOF-10003,95,206,0.0231,ok
hMOF-10004,190,412,0.0115,ok
hMOF-10005,73,158,0.0301,ok
hMOF-10006,155,342,0.0143,ok
hMOF-10007,89,194,0.0248,ok
hMOF-10008,178,388,0.0123,ok
hMOF-10009,267,582,0.0082,ok
hMOF-1001,55,120,0.0404,ok
hMOF-10010,119,266,0.0189,ok
hMOF-10011,131,284,0.0167,ok
hMOF-10012,188,408,0.0116,ok
hMOF-10013,95,206,0.0231,ok
hMOF-10014,190,412,0.0115,ok
hMOF-10015,125,278,0.0179,ok
hMOF-10016,152,320,0.0139,ok
hMOF-10017,212,456,0.0102,ok
hMOF-10018,161,344,0.0134,ok
hMOF-10019,248,534,0.0087,ok
hMOF-1002,110,240,0.02,ok
hMOF-10020,134,290,0.0163,ok
hMOF-10021,268,580,0.0081,ok
hMOF-10022,89,194,0.0248,ok
hMOF-10023,178,388,0.0123,ok
hMOF-10024,148,328,0.0151,ok
hMOF-10025,160,352,0.0138,ok
hMOF-10026,83,182,0.0267,ok
hMOF-10027,166,364,0.0133,ok
hMOF-10028,43,94,0.052,ok
hMOF-10029,242,548,0.0094,ok
hMOF-1003,69,148,0.0315,ok
hMOF-10030,79,174,0.0282,ok
hMOF-10031,41,90,0.0549,ok
hMOF-10032,43,94,0.052,ok
hMOF-10033,86,188,0.0257,ok
hMOF-10034,80,176,0.0278,ok
hMOF-10035,160,352,0.0138,ok
hMOF-10036,80,176,0.0278,ok
hMOF-10037,160,352,0.0138,ok
hMOF-10038,81,178,0.0275,ok
hMOF-10039,162,356,0.0136,ok
hMOF-1004,69,148,0.0315,ok
hMOF-10040,139,310,0.0162,ok
hMOF-10041,40,88,0.0564,ok
hMOF-10042,79,174,0.0282,ok
hMOF-10043,158,348,0.014,ok
hMOF-10044,79,174,0.0282,ok
hMOF-10045,158,348,0.014,ok
hMOF-10046,83,182,0.0267,ok
hMOF-10047,166,366,0.0134,ok
hMOF-10048,111,238,0.0195,ok
hMOF-10049,222,476,0.0097,ok
hMOF-1005,81,172,0.0265,ok
hMOF-10050,111,238,0.0195,ok
hMOF-10051,47,102,0.0472,ok
hMOF-10052,148,334,0.0154,ok
hMOF-10053,141,306,0.0155,ok
hMOF-10054,220,502,0.0104,ok
hMOF-10055,227,508,0.0099,ok
hMOF-10056,134,304,0.0171,ok
hMOF-10057,268,608,0.0085,ok
hMOF-10058,141,300,0.0152,ok
hMOF-10059,49,106,0.0451,ok
hMOF-1006,81,170,0.0262,ok
hMOF-10060,71,158,0.0318,ok
hMOF-10061,142,316,0.0158,ok
hMOF-10062,213,474,0.0105,ok
hMOF-10063,71,158,0.0318,ok
hMOF-10064,142,316,0.0158,ok
hMOF-10065,213,474,0.0105,ok
hMOF-10066,71,158,0.0318,ok
hMOF-10067,142,316,0.0158,ok
hMOF-10068,71,158,0.0318,ok
hMOF-10069,142,316,0.0158,ok
hMOF-1007,63,136,0.0348,ok
hMOF-10070,71,158,0.0318,ok
hMOF-10071,142,316,0.0158,ok
